epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.2307438615482702,0.9137088896125041,0.9127287087204607,0.12404638559157309,0.9655312741626989,0.9645511115462556
2,0.10223777585146443,0.9717315206773038,0.9720373452497807,0.08503310362983998,0.9775363203516054,0.9785100297488286
3,0.08775386042851689,0.9760359003581895,0.977074327092027,0.07200644716589519,0.9801815000203475,0.9817720952255565
4,0.07945015830224673,0.9781015955714751,0.979188549401773,0.0792976996166649,0.9787978675782363,0.9797616665387451
5,0.08126276214487271,0.9779489579941387,0.9792566675028638,0.0753799863813104,0.9794489887274651,0.9804858426608082
6,0.0700873140644771,0.9805946760013025,0.9817478220180281,0.06511331963858562,0.9819720831807268,0.9833236763423432
7,0.06339985632117157,0.9815919081732335,0.9827144702337115,0.06440837417810943,0.9833557156228381,0.9845046031189849
8,0.06092724554514854,0.9829045913383263,0.9839899379808906,0.056525360124777574,0.985024213567737,0.9860827456937002
9,0.05753875962810034,0.983769537609899,0.9847839150560694,0.09054126448623824,0.9811988768160176,0.981495618396675
10,0.05406145770642549,0.9848074731357864,0.9857798039811255,0.05600923097253157,0.9853904692141782,0.9861505918050711
11,0.051396403532051875,0.9853976717681537,0.9863645472034015,0.052119851995204414,0.986245065722541,0.9872542698645999
12,0.05171275921275118,0.9859776945620319,0.9868685382225539,0.05692991756604074,0.986448541081675,0.9872938299333159
13,0.04946862399282109,0.9860285737544774,0.9869533890305668,0.13591135782582883,0.9825825092581288,0.982296947984516
14,0.048321737132381824,0.9864763106479973,0.9873502803553384,0.05389907750795018,0.9867741016562894,0.9875737535719195
15,0.04663369580084359,0.9871377401497884,0.987979452587453,0.05574764403183812,0.986855491799943,0.9878503707218849
