epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.3041988164087166,0.8933649289099526,0.8922757176896369,0.18567338671015676,0.9495114006514658,0.9484021887826313
2,0.1361097789124555,0.9551614336492891,0.9551458877249633,0.11455528443827585,0.9647986378442405,0.964410376105187
3,0.10880413688322026,0.9642143068720379,0.9643231686517713,0.11192341159002153,0.9665013325436779,0.9668653915638596
4,0.09334772551251284,0.9691110041469194,0.9693616249935035,0.11793290427230962,0.9705729937814629,0.9704262970154185
5,0.08301391123277599,0.972341528436019,0.9725526700102727,0.08691850405209581,0.9744965946106011,0.9747710784609771
6,0.07569635133876937,0.9742020882701422,0.9743856427951417,0.08964960816734671,0.9739413680781759,0.9736809264276344
7,0.07012666048376127,0.9764329087677726,0.9766385399088289,0.09791047602388891,0.9747927154278946,0.9747318422229668
8,0.06680923500054149,0.9773400473933649,0.9775432025875581,0.1074579014054833,0.9761992893100385,0.9760539114866951
9,0.045515093880692296,0.9833752962085308,0.9836942464125601,0.0766390508842214,0.9801969203435001,0.9805880987824146
10,0.040507139075300284,0.9847822867298578,0.9850461711202454,0.067156129002324,0.9820846905537459,0.9820995344765115
11,0.03862915583886206,0.985495038507109,0.9858026798641379,0.08309389161029299,0.9804190109564702,0.9804112532651507
12,0.03652890010900195,0.9864947422985783,0.9867431012167701,0.08291633563490708,0.9813073734083506,0.9812920925256547
13,0.03518839395534406,0.9870131072274881,0.9872613680160033,0.10042912770048344,0.9821217056559076,0.9823514020899582
14,0.02669027079585322,0.9892439277251185,0.9895220593798341,0.08547213128201171,0.9832321587207581,0.9833978825836356
