epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.29292173818968004,0.8995019994075829,0.8985869178230986,0.21072741162593386,0.9329286348830322,0.9309931432017695
2,0.1678507216154393,0.9422948755924171,0.9423637693123419,0.16250040830681936,0.9535090316849274,0.9534857825809595
3,0.13734580864848533,0.9534952606635071,0.9535548871088123,0.13701527775092912,0.9593574178264732,0.9594364933467228
4,0.1315588451655111,0.9541987559241706,0.9543089146866155,0.118674978066698,0.9633920639620965,0.9636119790945026
5,0.11894290728262404,0.959530509478673,0.9596372355641509,0.10641351617985235,0.966242226828546,0.9664544644160147
6,0.10818427653324733,0.9625388773696683,0.9627113854219351,0.15296198484598972,0.9654278945809891,0.9656627420248436
7,0.1068625985242558,0.9636218898104265,0.9638686252833008,0.1467590200272685,0.9663902872371928,0.966586960837476
8,0.09637841283510915,0.9660933797393365,0.9663066144627077,0.10291653638995184,0.9680189517323068,0.9680197611629169
9,0.09252910299066244,0.9672134182464455,0.9673842481455923,0.13195378347670922,0.9667604382588096,0.9665099673378027
10,0.08681602248200246,0.9692776214454977,0.9694801251838321,0.09595496400524464,0.9713873260290199,0.971697235956061
11,0.08485259913478355,0.9702217861374408,0.970441090252374,0.10395285177414397,0.9692034350014807,0.9689289598033615
12,0.048,0.982,0.982,0.0576,0.9776162274207877,0.9774620995546498
13,0.046,0.984,0.984,0.05519999999999999,0.9802324548415754,0.9799241991092996
14,0.044000000000000004,0.986,0.986,0.0528,0.982848682262363,0.9823862986639493
15,0.042,0.988,0.988,0.05039999999999999,0.9854649096831507,0.9848483982185992
16,0.04000000000000001,0.99,0.99,0.048,0.9880811371039384,0.987310497773249
