epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.119905700587263,0.960880355276907,0.9188393414269412,0.05990617931319223,0.9824992925709062,0.9617005500641944
2,0.05006979627502957,0.9854580285614768,0.9706358991584045,0.05304875631942028,0.9851331055048868,0.9681420620146666
3,0.041005841435268336,0.9879832810867294,0.9771727208742477,0.033608948394810156,0.9891382425284604,0.9804824369776843
4,0.03609061437081228,0.9893275426680599,0.9802046497914861,0.03454459217970352,0.9895300494112014,0.9816139787053106
5,0.0346901886085991,0.989539794496691,0.9809177063910165,0.031003490657020318,0.9904660325199712,0.9832217409403814
6,0.032178794693309476,0.9901003570184604,0.9822974084258019,0.037173593706727036,0.9904224984218889,0.9825699036761479
7,0.03049786199235887,0.9903833594566354,0.9829543995670138,0.033278162072374814,0.9898783221958599,0.9828758597093751
8,0.030781152322421252,0.9904649947753396,0.983200900745497,0.031238566399118733,0.991510850873947,0.984826419431207
9,0.028438442558937686,0.9911725008707767,0.9845809560409593,0.036342536608308905,0.9905313336670948,0.9830520278548119
10,0.028655379080904233,0.9911725008707767,0.9846306170607517,0.027439855231299607,0.9919897259528526,0.9864175872028522
11,0.029120821573258026,0.9913412138627656,0.9847625994595308,0.03335262644921729,0.9916632202172352,0.9853033189868332
12,0.027373881898989084,0.9914772727272727,0.9851754634302251,0.03588527628501522,0.9915326179229882,0.985289548927093
