epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.07226109166160552,0.9785013686131386,0.9739704049853788,0.07301342378715682,0.9831686359598437,0.9795838207655521
2,0.04758391028085455,0.98637432372924,0.9835808230200596,0.04712540032022976,0.9872172826112592,0.9845733151714688
3,0.043465001660493136,0.9877670368738988,0.9852652043566503,0.04042091134722385,0.9883178855844594,0.9859579871283694
4,0.04130084614996597,0.9882554426477065,0.9858586610787856,0.043106830573764895,0.9885458676289082,0.986222087389014
5,0.04033838790846617,0.988657101503996,0.9863427322094742,0.04842613039482073,0.9882785783354167,0.9858679887690716
6,0.038840193869314615,0.9891573608052847,0.9869479032470061,0.0447776051827842,0.9889939702679968,0.9867438776493052
7,0.0334010479952663,0.9907919367016925,0.9889203456879925,0.03911247544442963,0.9903304167354543,0.9883602651511558
8,0.032335312882559725,0.9911295777749811,0.9893265072691075,0.04214959795804529,0.9906841819768402,0.988788291106923
9,0.03144207876380766,0.9914062991630482,0.9896607610242556,0.041160383949884964,0.9903225552856458,0.9883644629563649
10,0.03087021796846331,0.991580942494023,0.9898709454471604,0.041887848561641704,0.9902675251369858,0.9882781661832456
11,0.028453804147774892,0.9922572983515792,0.9906850744573785,0.03799058533934648,0.9911244231661203,0.9893202872655303
12,0.02772170475955488,0.9924587946653246,0.9909292538693515,0.04312268778497018,0.9909593327201403,0.9891185071308555
13,0.027385222851449946,0.9925984772212434,0.9910964966808573,0.03961287824638789,0.9910693930174603,0.9892651589441623
14,0.02691081740694315,0.992727208380521,0.9912513729378062,0.039801756872688124,0.9912266220136318,0.989441699854658
15,0.02566667462108629,0.9930507488044299,0.991641651306261,0.03960589932749497,0.9914467426082718,0.9897126816085773
