epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.44617018234139194,0.8443794431279621,0.8425146795714686,0.21083354213497574,0.9278945809890435,0.926317928384918
2,0.21233342667397165,0.9317517031990521,0.9316133557587827,0.19919511995302844,0.9471424341131182,0.9468348617626201
3,0.16129245010195786,0.9495704976303317,0.9495178711318069,0.14456776174561384,0.9605048859934854,0.9605194115195539
4,0.13661750896405694,0.9579661581753555,0.9578747971164103,0.10791863978509195,0.9664643174415162,0.9668005008822123
5,0.11933138976932914,0.9634552725118484,0.9634696454612177,0.14508206477823926,0.9656870002961209,0.9654229757590436
6,0.1049589331667888,0.9671949052132701,0.9672687098041506,0.12630811662832095,0.9646135623334321,0.9649159387937528
7,0.09682193179217595,0.9694349822274881,0.9695199265324511,0.1644847150963723,0.9627998223275096,0.9614675879321319
8,0.06829209192611842,0.9771456605450237,0.9772939149645147,0.09552233143515723,0.9749037607343797,0.9747588352370116
9,0.061310550424168817,0.9792191202606635,0.9793711795480112,0.10748527268086236,0.9757551080840983,0.975589046670397
10,0.0575124292592496,0.9808297541469194,0.9809582765492706,0.09745101232234987,0.9778649689073142,0.9778959481883414
11,0.05342060088078487,0.9819497926540285,0.9820700862418157,0.11222234695293792,0.9761252591057151,0.9760618777992892
12,0.041110912527694804,0.9851155213270142,0.9853103759058612,0.08557862790865696,0.9800118448326918,0.9801153294348381
13,0.03855274154217605,0.9858838122037915,0.9861014846886459,0.0858501955438797,0.9808261770802488,0.9809650954297353
14,0.03595585266781432,0.986818720379147,0.9870293256765997,0.08797202589139806,0.9813443885105123,0.9814318142417171
15,0.03571352505751872,0.9870038507109005,0.9872306445672668,0.08443520277041389,0.9816775244299675,0.9818623519366589
16,0.03384657436099027,0.987994297985782,0.9881539265715338,0.08515342023816022,0.9829360379034646,0.983041371952773
17,0.032482137000938584,0.988225710900474,0.9884192050233175,0.09716582488459456,0.9823808113710394,0.982561741759425
18,0.031700569523886835,0.9885774585308057,0.9887670593881042,0.11192140605787147,0.9815294640213207,0.9816130796242994
19,0.025932956972464002,0.9905120704976303,0.9906906028675782,0.10006629734534217,0.9835282795380516,0.9836140592657279
