epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.13770725285669544,0.9594536163522013,0.9504253308601509,0.08980151221618303,0.972875226039783,0.9668946278945854
2,0.091699843483526,0.9725432389937106,0.966662905797727,0.08893889867748159,0.9719317556411667,0.966432708513544
3,0.07692636701061666,0.977751572327044,0.9730753981970937,0.07731311626226232,0.9755483921691956,0.970627507392579
4,0.06959021709062768,0.9795597484276729,0.9753104983662353,0.0918233368473392,0.9761773724349398,0.970901089063753
5,0.06327513884401546,0.9821147798742138,0.9784162214022509,0.07017038622799648,0.9778284456325183,0.9734339867280368
6,0.05976949907464426,0.9828616352201258,0.9793313103167072,0.07082321166954239,0.97696359776712,0.9724545665772635
7,0.059542155310324155,0.9827633647798742,0.9792205287840022,0.0783598013986482,0.9782215582986084,0.973505870343969
8,0.05626315034269912,0.9842374213836478,0.9810031381905329,0.08011667280792195,0.9799512540294049,0.9759572533857804
9,0.04640163866182168,0.9871462264150943,0.9845232981777186,0.06785783131117756,0.9814450821605473,0.9777674498858747
10,0.04266691243732875,0.9876768867924528,0.9851677330214037,0.07262205447741267,0.9823885525591635,0.9787866531729896
11,0.03991819523134321,0.9893081761006289,0.9871369289792694,0.06963301604719885,0.9813664596273292,0.9776509523969985
12,0.038793196065245936,0.9893867924528302,0.987225550185109,0.06803138273506001,0.9830961553581257,0.9796848281332307
13,0.034240687429998654,0.9907625786163522,0.9888879801730964,0.07399476712319329,0.9834106454909978,0.9800596958855623
