epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,epoch_sec
1.0,0.43802892181270164,0.9175369928400955,0.9154796188499976,1.7775181624404572,0.64802021035265,0.7227494355255917,0.001,141.2103314
2.0,0.295785947278462,0.9649069212410502,0.9631756431891738,1.9682911383838944,0.6529181274489585,0.7230573471111479,0.001,117.07861509999998
3.0,0.2802427720500063,0.9698329355608591,0.9683752014079564,2.0902600833640244,0.6528150134048257,0.7089907439373377,0.001,116.7486528
4.0,0.2647227974085933,0.9755608591885442,0.9742988800441743,2.1209037509172766,0.6481748814188493,0.7124653821261846,0.001,117.3530298
5.0,0.2602208029580856,0.9762291169451074,0.9749174136888191,1.8073494644091532,0.6494122499484429,0.7196976723172062,0.001,116.7746955
6.0,0.2389198373024105,0.9822052505966588,0.9814336073684654,1.658262052648361,0.6519385440296969,0.6975524957544257,0.0005,116.85890949999998
7.0,0.2341332314458269,0.9842482100238663,0.9833560393843822,1.7738504668324724,0.645597030315529,0.6951177080004884,0.0005,116.9230493
8.0,0.2317692135398883,0.9846682577565632,0.9837893724552599,1.8220821470851922,0.646370385646525,0.6982215356198911,0.0005,116.69154590000005
9.0,0.22187114618843096,0.9878568019093079,0.987157845189645,1.9653393945378799,0.6420911528150134,0.6921649627768515,0.00025,116.92046930000004
10.0,0.2211303771583448,0.9880286396181385,0.9875306233509074,1.8051964317425966,0.6460094864920602,0.6974412232024744,0.00025,116.90161540000008
11.0,0.265501035182459,0.9759618138424822,0.9746556180442164,1.636956735462055,0.6583831717879975,0.7115017924245176,0.00025,246.9300518
12.0,0.23752849510973564,0.98436276849642,0.9836933064246873,1.8432652504665628,0.6530727985151578,0.6942460637454462,0.00025,240.16865689999986
13.0,0.22573935931622272,0.9879713603818616,0.9872642951684931,1.4006483757722055,0.6790059806145597,0.7336833857363952,0.00025,240.18004220000012
14.0,0.2198541050546209,0.9897661097852029,0.9891352246896924,1.9015114139769342,0.6438956485873376,0.6879482109329867,0.00025,240.10109439999974
15.0,0.21481284385763091,0.991618138424821,0.99113739326397,1.8149647988297566,0.6552897504640132,0.7163348600758088,0.00025,240.33655670000007
16.0,0.21169309705993725,0.9928400954653938,0.9923144601460377,1.5397339272767054,0.6732315941431223,0.7132548203242994,0.00025,240.1995422
17.0,0.20203722801783205,0.9956658711217183,0.9953912545384226,1.7258257929148884,0.6612188080016498,0.705821725234631,0.000125,240.30693780000001
18.0,0.20170910166612957,0.9954367541766109,0.9951628998231161,1.7001641550508326,0.6672509795834193,0.7076867041274515,0.000125,240.26116869999987
19.0,0.20054040225422753,0.9957422434367542,0.9954899043657175,1.7079578206806632,0.6648793565683646,0.7047928428056863,0.000125,239.98110719999977
20.0,0.19775958379100217,0.9964105011933174,0.9962714752060334,1.7505507369272781,0.6625077335533099,0.7012099564570825,6.25e-05,240.29228950000015
21.0,0.19605334289688484,0.9974415274463008,0.9972833449303498,1.7735242692956876,0.6611672509795834,0.7013162384816019,6.25e-05,240.07048380000015
