epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.9927388128553118,0.4948571428571429,0.49617917518935833,0.7570919008233717,0.616,0.6203119360206238
2,0.7007902082375118,0.64725,0.6507870672598725,0.6162211636858327,0.6916428571428571,0.6914416764387595
3,0.591575448019164,0.6991964285714286,0.6998720215675338,0.541235807955265,0.7263571428571428,0.7256957673859196
4,0.5281533460276467,0.7325714285714285,0.7318034466410864,0.4881280940898827,0.759,0.7565033124380757
5,0.4855793500798089,0.7547857142857143,0.7541922158891452,0.44168913916179114,0.7813571428571429,0.7802747557174321
6,0.4569824450782367,0.7692857142857142,0.7691354203288442,0.43144237159405435,0.787,0.7853734358691395
7,0.4259268921656268,0.7820714285714285,0.7816796295413493,0.4284445382079908,0.7832142857142858,0.7831930713759707
8,0.4003139812690871,0.7966071428571428,0.7961098527137217,0.3801922269633838,0.808,0.8085811884396356
9,0.38737291676231794,0.7984285714285714,0.798433398531859,0.35737655747362546,0.8207857142857143,0.819060904989074
10,0.3650924100982291,0.8102678571428571,0.809791012252207,0.3467767970306533,0.827,0.8275266082194647
11,0.35624998992042883,0.8127142857142857,0.8131213579595006,0.34974227338177816,0.8258571428571428,0.8270735763750346
12,0.34101443052078995,0.8228392857142857,0.8225992370587342,0.32520179553117073,0.8400714285714286,0.8390711031063903
13,0.3282010037302971,0.8285714285714286,0.8283349756150377,0.3279710338328566,0.84,0.8399508081218755
14,0.31753747490048406,0.8348392857142857,0.8349066731357085,0.3024934210606984,0.8484285714285714,0.8475112704194014
15,0.3097969195970467,0.8385714285714285,0.8383571163106487,0.29882589827690803,0.8529285714285715,0.8534568800817696
16,0.30096482332902297,0.8393928571428572,0.8391132548502117,0.285163195005485,0.8544285714285714,0.8543145177480286
17,0.29285623585539206,0.8456785714285714,0.8448714263288934,0.2628420497966664,0.8677142857142857,0.8670107133904394
18,0.28334968599251337,0.8521071428571428,0.8521020023997473,0.26820569313423975,0.8646428571428572,0.8641040271676891
19,0.2761437970889466,0.8539285714285715,0.8534262453337531,0.26579109141230584,0.8659285714285714,0.8652265209530435
20,0.2696920487710408,0.8569464285714286,0.8568674921810139,0.2538631575703621,0.8752857142857143,0.8752550470913228
21,0.2614486577936581,0.8608214285714286,0.8605619638391596,0.2588639644724982,0.8695714285714286,0.8698751031068206
22,0.25466806319462404,0.865875,0.8659455397500128,0.24521717239277704,0.876,0.8762796201222063
23,0.25588472435091225,0.8659821428571428,0.8660487828129703,0.23503253697497503,0.8785714285714286,0.878615246607069
24,0.24256943430219377,0.8716071428571428,0.8713113655982763,0.24146241021369186,0.879,0.8787390599797886
25,0.2376389605147498,0.8739107142857143,0.8738516598903977,0.24557341964755738,0.8836428571428572,0.8826225835062591
26,0.23611428000032902,0.8746785714285714,0.8747220754023398,0.22496664390819412,0.8884285714285715,0.8885031230728971
27,0.2289870867154428,0.8788214285714285,0.8785207421053086,0.22792298511522158,0.8940714285714285,0.8942183251060108
28,0.22524653720855714,0.8814821428571429,0.8813352452600519,0.2197140100002289,0.8857857142857143,0.8873475542293737
29,0.22263943822681903,0.8818571428571429,0.8816207754321536,0.22898013311411652,0.8953571428571429,0.8954257976983291
30,0.21618934910212245,0.8846964285714286,0.8848725597659095,0.20618992501710143,0.9005714285714286,0.9003773236700544
31,0.20950333331099577,0.8884821428571429,0.8883464493819125,0.2180053998870509,0.8987857142857143,0.8986272511211378
32,0.20712670531443186,0.8890892857142857,0.8891454880513352,0.21293292927316257,0.9013571428571429,0.9012958874543656
33,0.20607053106916803,0.8901964285714286,0.8907062207499702,0.21646998162993364,0.8971428571428571,0.8969826897644617
34,0.19966759607834475,0.8931964285714286,0.8933207080161406,0.20790051630990847,0.9053571428571429,0.9056184260163713
35,0.19424951067354,0.8958214285714285,0.8961705256804723,0.2029402994811535,0.9109285714285714,0.9108103901280223
36,0.19367165970802308,0.8959464285714286,0.896225741291117,0.2004801586525781,0.9125714285714286,0.9126098374397037
37,0.19210692491275924,0.8971785714285714,0.897128514490641,0.1953921009174415,0.9073571428571429,0.907250999163028
38,0.18557823498014892,0.9008392857142857,0.9008867222424347,0.2065845868715218,0.9114285714285715,0.9114112956858006
39,0.18533351043292454,0.9003928571428571,0.9001694014248367,0.17816531071705477,0.9171428571428571,0.917139507813338
40,0.18065595796597855,0.9035,0.9034521345079819,0.18393654947195734,0.9160714285714285,0.9160152791233387
