epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.13643480370395214,0.9600825471698113,0.9512123068236051,0.09649784083683396,0.9705951725764604,0.9640206162236781
2,0.08959795295629862,0.9730738993710691,0.9672908154464616,0.08384208779823647,0.9744476767041435,0.9693005250505689
3,0.07698783801177388,0.9773388364779875,0.9725644860420177,0.07719771039487089,0.9775139554996461,0.9728981673205139
4,0.06728291892030704,0.9798545597484277,0.9756728243974722,0.07221976351145588,0.97696359776712,0.9721407553274988
5,0.06166899543044702,0.9819772012578616,0.9782625625110211,0.06527257393019371,0.980501611761931,0.9764176128443922
6,0.05574123013366318,0.9840212264150944,0.9807308977141225,0.06328968685349531,0.9794795188300967,0.975395323076176
7,0.051785712546241355,0.9846501572327044,0.9815095927863331,0.06359194637013106,0.9818381948266374,0.9779729302710596
8,0.04838572566707929,0.9856328616352201,0.9826960585510278,0.082000287535692,0.9818381948266374,0.9781390783781596
9,0.048017921631441175,0.9857900943396226,0.9828980949599291,0.06352305198596364,0.9811305920276752,0.9773488724212059
10,0.03792370875489037,0.9886792452830189,0.9863829228182132,0.06776835813641528,0.9837251356238698,0.9803427191417204
